#RPLIDAR SCAN DATA
#COUNT=1006
#Angule	Distance	Quality
352.3700 2904.0 188
352.6831 2916.0 188
352.9962 2928.0 188
353.3258 2932.0 188
353.6389 2940.0 188
353.9685 2940.0 188
354.2761 2944.0 188
354.5892 2948.0 188
354.9188 2948.0 188
355.2319 2952.0 188
355.5615 2956.0 188
355.8746 2960.0 188
356.1823 2952.0 188
356.5118 2956.0 188
356.8250 2968.0 188
357.1545 2996.0 188
357.4677 3012.0 188
357.7808 3032.0 188
358.1049 3040.0 188
358.4180 3024.0 188
358.7476 3016.0 188
359.0607 3028.0 188
359.3738 3036.0 188
359.6979 3040.0 188
0.0110 3044.0 188
0.3406 3056.0 188
0.6537 3060.0 188
0.9668 3060.0 188
1.2964 3064.0 188
1.5601 3076.0 188
1.9336 3072.0 188
2.2467 3072.0 188
2.5104 3088.0 188
2.8235 3104.0 188
3.1531 3116.0 188
3.4662 3124.0 188
3.7793 3128.0 188
4.1089 3132.0 188
4.4165 3136.0 188
4.7461 3140.0 188
5.0592 3148.0 188
5.3888 3124.0 188
5.7019 3124.0 188
6.6687 3404.0 188
6.9983 3420.0 188
7.3114 3428.0 188
7.6355 3452.0 188
7.9486 3412.0 188
8.6078 3076.0 188
8.9813 3068.0 188
9.2944 3060.0 188
9.6240 3068.0 188
9.8877 3080.0 188
10.2008 3088.0 188
10.5304 3096.0 188
10.8545 3104.0 188
11.1676 3116.0 188
11.4972 3132.0 188
11.8103 3148.0 188
12.1399 3152.0 188
12.4640 3156.0 188
12.7771 3168.0 188
13.1067 3176.0 188
13.4198 3184.0 188
13.7494 3204.0 188
14.0625 3224.0 188
14.3866 3236.0 188
14.7162 3236.0 188
15.0293 3244.0 188
15.3589 3264.0 188
16.2653 3740.0 188
16.5894 3800.0 188
16.9025 3828.0 188
17.2321 3856.0 188
17.5452 3888.0 188
17.8748 3908.0 188
18.1824 3920.0 188
18.5120 3940.0 188
18.8416 3956.0 188
19.1547 3964.0 188
19.4843 3988.0 188
19.7919 4024.0 188
20.1215 4044.0 188
20.4510 4056.0 188
20.7642 4068.0 188
21.0938 4080.0 188
21.4014 4092.0 188
21.6705 4104.0 188
21.9946 4112.0 188
22.3242 4120.0 188
22.6373 4128.0 188
22.9669 4144.0 188
23.2800 4168.0 188
23.6041 4192.0 188
23.9172 4224.0 188
24.2468 4256.0 188
24.5764 4272.0 188
24.8895 4304.0 188
25.2136 4344.0 188
25.5267 4344.0 188
25.8563 4304.0 188
26.1694 4280.0 188
26.4990 4264.0 188
26.8231 4248.0 188
27.1362 4256.0 188
27.7789 4288.0 188
28.1085 4560.0 188
28.4326 4616.0 188
28.7457 4640.0 188
29.0753 4656.0 188
29.3884 4672.0 188
29.7180 4688.0 188
30.0311 4728.0 188
30.3552 4784.0 188
30.6848 4816.0 188
30.9979 4864.0 188
31.2616 4920.0 188
31.5912 4960.0 188
31.9043 4976.0 188
32.2339 5016.0 188
32.5580 5048.0 188
32.8711 5072.0 188
33.2007 5112.0 188
33.5138 5152.0 188
33.8434 5192.0 188
34.1675 5168.0 188
34.4806 5128.0 188
34.8102 5120.0 188
35.1233 5104.0 188
35.4529 5088.0 188
35.7605 5144.0 188
36.4197 5520.0 188
36.7328 5624.0 188
37.0624 5680.0 188
37.3700 5720.0 188
37.6996 5760.0 188
38.0127 5784.0 188
