#RPLIDAR SCAN DATA
#COUNT=1084
#Angule	Distance	Quality
352.0898 3468.0 188
352.4030 3472.0 188
352.7161 3476.0 188
353.0457 3484.0 188
353.3588 3488.0 188
353.6829 3464.0 188
353.9960 3412.0 188
354.3091 3352.0 188
354.6387 3308.0 188
354.9518 3300.0 188
355.2759 3300.0 188
355.5890 3332.0 188
356.2317 3488.0 188
356.5448 3504.0 188
356.8744 3512.0 188
357.1216 3516.0 188
357.4512 3520.0 188
357.7643 3524.0 188
358.0884 3524.0 188
358.4015 3528.0 188
358.7146 3536.0 188
359.0442 3536.0 188
359.3573 3540.0 188
359.6869 3564.0 188
0.0000 3576.0 188
0.3076 3576.0 188
0.6372 3580.0 188
0.9503 3592.0 188
1.2799 3604.0 188
1.5930 3612.0 188
1.9061 3624.0 188
2.2302 3644.0 188
2.5433 3664.0 188
2.8729 3680.0 188
3.1860 3688.0 188
3.4991 3692.0 188
3.8232 3692.0 188
4.1364 3696.0 188
4.4495 3704.0 188
4.7791 3708.0 188
5.0922 3716.0 188
5.4218 3732.0 188
5.7294 3736.0 188
6.0425 3744.0 188
6.3721 3752.0 188
6.6852 3752.0 188
7.0148 3752.0 188
7.3279 3756.0 188
7.6355 3760.0 188
7.9651 3780.0 188
8.2782 3792.0 188
8.6078 3788.0 188
8.9209 3800.0 188
9.2340 3816.0 188
9.5581 3828.0 188
9.8712 3832.0 188
10.2008 3816.0 188
10.5139 3792.0 188
10.8270 3776.0 188
11.1511 3756.0 188
11.4642 3744.0 188
11.7938 3752.0 188
12.1069 3816.0 188
12.4200 3908.0 188
12.7496 3972.0 188
13.0573 4004.0 188
13.3868 4032.0 188
13.7000 4060.0 188
14.0295 4080.0 188
14.3427 4088.0 188
14.6667 4092.0 188
14.9194 4100.0 188
15.2490 4104.0 188
15.5621 4112.0 188
15.8862 4120.0 188
16.2158 4128.0 188
16.5289 4144.0 188
16.8585 4152.0 188
17.1716 4168.0 188
17.4957 4208.0 188
17.8088 4224.0 188
18.1384 4224.0 188
18.4515 4248.0 188
18.7811 4264.0 188
19.0887 4288.0 188
19.4183 4328.0 188
19.7314 4352.0 188
20.0610 4368.0 188
20.3741 4392.0 188
20.6982 4416.0 188
21.0114 4448.0 188
21.3409 4480.0 188
21.6541 4496.0 188
21.9836 4496.0 188
22.2968 4480.0 188
22.6208 4448.0 188
22.9340 4408.0 188
23.2635 4392.0 188
23.5767 4376.0 188
23.9062 4384.0 188
24.2139 4448.0 188
24.5435 4552.0 188
24.8566 4624.0 188
25.1862 4664.0 188
25.4993 4704.0 188
25.8234 4744.0 188
26.1365 4776.0 188
26.4661 4832.0 188
26.7792 4888.0 188
27.0428 4920.0 188
27.3724 4936.0 188
27.6855 4976.0 188
28.0151 4992.0 188
28.3228 5016.0 188
28.6523 5056.0 188
28.9655 5080.0 188
29.2950 5096.0 188
29.6082 5112.0 188
29.9323 5136.0 188
30.2454 5168.0 188
30.5750 5192.0 188
30.8881 5216.0 188
31.2177 5224.0 188
31.5308 5216.0 188
31.8549 5200.0 188
32.1680 5200.0 188
32.4976 5200.0 188
32.8107 5232.0 188
33.4479 5552.0 188
33.7775 5616.0 188
34.1071 5640.0 188
34.4202 5688.0 188
34.7498 5728.0 188
35.0574 5760.0 188
35.3870 5792.0 188
35.7001 5864.0 188
36.0297 5912.0 188
36.3428 5976.0 188
36.6669 6064.0 188
36.9800 6144.0 188
37.2491 6200.0 188
37.5732 6208.0 188
37.8864 6208.0 188
38.2159 6192.0 188
38.5291 6176.0 188
38.8586 6160.0 188
39.1718 6224.0 188
39.4958 6392.0 188
39.8090 6544.0 188
40.1385 6696.0 188
40.4517 6824.0 188
40.7812 6864.0 188
41.0889 6936.0 188
41.4185 7016.0 188
41.7316 7040.0 188
42.0612 7088.0 188
42.3743 7136.0 188
42.6984 7168.0 188
43.0115 7184.0 188
43.3411 7184.0 188
43.6542 7240.0 188
44.2969 7624.0 188
44.6210 7712.0 188
44.9341 7808.0 188
45.2637 7864.0 188
45.5933 7960.0 188
45.9009 8136.0 188
46.1700 8232.0 188
46.4996 8200.0 188
46.8732 8176.0 188
47.1368 8232.0 188
47.7795 8824.0 188
48.1091 9000.0 188
48.4167 9120.0 188
48.7463 9232.0 188
49.0594 9304.0 188
49.3890 9296.0 188
49.7021 9344.0 188
50.0262 9512.0 188
50.6689 10120.0 188
50.9985 10312.0 188
51.3116 10344.0 188
51.6357 10352.0 188
51.9489 10528.0 188
52.2784 10808.0 188
52.5916 11008.0 188
52.9211 11152.0 188
53.2452 11264.0 188
53.8879 11368.0 188
54.7943 12640.0 188
55.1074 12672.0 188
55.4370 12776.0 188
55.7446 12944.0 188
56.0742 13192.0 188
56.4038 13328.0 188
56.7169 13328.0 188
57.0465 13392.0 188
57.3541 13472.0 188
57.6837 13552.0 188
64.7809 1810.0 188
65.0885 1812.0 188
65.4181 1824.0 188
65.7477 1842.0 188
66.0608 1856.0 188
66.3904 1866.0 188
66.6980 1872.0 188
67.0276 1878.0 188
67.3407 1878.0 188
67.6703 1874.0 188
67.9834 1864.0 188
68.3075 1856.0 188
68.6371 1852.0 188
68.9502 1848.0 188
69.2798 1844.0 188
69.5929 1838.0 188
69.9170 1836.0 188
70.2301 1834.0 188
70.5597 1830.0 188
70.8893 1822.0 188
71.2024 1810.0 188
71.5265 1804.0 188
71.8396 1794.0 188
72.1692 1784.0 188
72.4823 1780.0 188
72.8119 1778.0 188
73.1250 1770.0 188
73.4491 1762.0 188
73.7787 1760.0 188
74.1522 1756.0 188
74.4653 1750.0 188
74.7949 1748.0 188
75.1080 1744.0 188
75.4321 1742.0 188
75.7617 1736.0 188
76.0748 1732.0 188
76.3879 1728.0 188
76.7175 1728.0 188
77.0306 1724.0 188
77.3547 1722.0 188
77.6678 1720.0 188
77.9974 1716.0 188
78.3105 1710.0 188
78.6401 1706.0 188
78.9478 1702.0 188
79.2773 1700.0 188
79.5905 1698.0 188
79.9200 1694.0 188
80.2332 1692.0 188
80.5573 1692.0 188
80.8704 1690.0 188
81.2000 1688.0 188
81.5131 1688.0 188
81.8427 1684.0 188
82.1558 1682.0 188
82.4799 1678.0 188
82.7930 1674.0 188
83.1226 1672.0 188
83.4357 1668.0 188
83.7653 1664.0 188
84.0729 1662.0 188
84.4025 1662.0 188
84.7156 1662.0 188
85.0452 1658.0 188
85.3583 1656.0 188
85.6824 1654.0 188
85.9955 1654.0 188
86.3251 1652.0 188
86.6382 1648.0 188
86.9678 1644.0 188
87.2809 1642.0 188
87.6050 1640.0 188
87.9181 1640.0 188
88.2477 1640.0 188
