#RPLIDAR SCAN DATA
#COUNT=736
#Angule	Distance	Quality
353.0127 998.0 188
353.3423 996.0 188
353.6719 996.0 188
354.0125 996.0 188
354.3420 994.0 188
354.6716 994.0 188
354.9957 994.0 188
355.3418 994.0 188
355.6714 994.0 188
355.9955 994.0 188
356.3251 994.0 188
356.6711 994.0 188
356.9952 994.0 188
357.3248 994.0 188
357.6544 994.0 188
357.9950 994.0 188
358.3246 994.0 188
358.6542 994.0 188
358.9838 992.0 188
359.3243 992.0 188
359.6539 994.0 188
359.9835 994.0 188
0.3241 994.0 188
0.6537 994.0 188
0.9833 994.0 188
1.3239 994.0 188
1.6534 994.0 188
1.9830 994.0 188
2.3236 994.0 188
2.6532 996.0 188
2.9828 996.0 188
3.3234 996.0 188
3.6530 996.0 188
3.9825 996.0 188
4.3231 996.0 188
4.6527 998.0 188
4.9823 998.0 188
5.3229 1000.0 188
5.6525 1000.0 188
5.9821 1000.0 188
6.3281 1002.0 188
6.6522 1002.0 188
6.9818 1002.0 188
7.3279 1004.0 188
7.6520 1004.0 188
7.9816 1004.0 188
8.3112 1006.0 188
8.6517 1006.0 188
8.9813 1006.0 188
9.3109 1010.0 188
9.6515 1012.0 188
9.9811 1012.0 188
10.3107 1012.0 188
10.6512 1012.0 188
10.9808 1012.0 188
11.3104 1014.0 188
11.6510 1014.0 188
11.9806 1016.0 188
12.3102 1018.0 188
12.6562 1018.0 188
12.9803 1020.0 188
13.3099 1016.0 188
13.6560 1012.0 188
13.9801 1002.0 188
14.3097 992.0 188
14.6558 986.0 188
14.9799 988.0 188
15.3094 988.0 188
15.6555 990.0 188
15.9796 992.0 188
16.3092 992.0 188
16.6553 992.0 188
16.9794 992.0 188
17.3090 994.0 188
17.6385 996.0 188
17.9791 998.0 188
18.3087 1000.0 188
18.6383 1002.0 188
18.9844 1006.0 188
19.3085 1010.0 188
19.6381 1014.0 188
19.9841 1022.0 188
20.2643 1028.0 188
20.5884 1030.0 188
20.9180 1034.0 188
21.2476 1036.0 188
21.5936 1040.0 188
21.9177 1044.0 188
22.2473 1048.0 188
22.5934 1052.0 188
22.9175 1056.0 188
23.2471 1060.0 188
23.5931 1064.0 188
23.9172 1068.0 188
24.2029 1072.0 188
24.5270 1076.0 188
24.8566 1080.0 188
25.2026 1086.0 188
25.5267 1094.0 188
25.8563 1098.0 188
26.2024 1102.0 188
26.5265 1108.0 188
26.8561 1112.0 188
27.2021 1116.0 188
27.4658 1126.0 188
27.8119 1134.0 188
28.1360 1142.0 188
28.4656 1148.0 188
28.8116 1156.0 188
29.1357 1162.0 188
29.4653 1166.0 188
29.7455 1174.0 188
30.0751 1182.0 188
30.4211 1192.0 188
30.7452 1204.0 188
31.0913 1212.0 188
31.4209 1222.0 188
31.7010 1234.0 188
32.0416 1246.0 188
32.3712 1256.0 188
32.7173 1268.0 188
33.0469 1282.0 188
33.3270 1298.0 188
33.6511 1314.0 188
33.9972 1334.0 188
34.3268 1350.0 188
35.3870 1826.0 188
35.7330 1834.0 188
36.0571 1846.0 188
36.4032 1860.0 188
36.7328 1870.0 188
37.0734 1882.0 188
37.3425 1900.0 188
37.6831 1914.0 188
38.0127 1922.0 188
38.3588 1934.0 188
38.6829 1946.0 188
39.0289 1960.0 188
39.3585 1978.0 188
39.6991 1998.0 188
40.0287 2012.0 188
40.3748 2026.0 188
40.6989 2040.0 188
40.9790 2056.0 188
41.3086 2072.0 188
41.6547 2080.0 188
41.9843 2096.0 188
42.3248 2120.0 188
42.6544 2140.0 188
42.9950 2156.0 188
43.3246 2176.0 188
43.6707 2192.0 188
43.9948 2212.0 188
44.2804 2236.0 188
44.6045 2260.0 188
44.9506 2280.0 188
45.2802 2300.0 188
45.6207 2324.0 188
45.9503 2344.0 188
46.9666 2368.0 188
47.4060 3916.0 188
47.7466 3948.0 188
48.0762 3980.0 188
48.4167 3992.0 188
48.7463 4008.0 188
49.5264 2776.0 188
49.8724 2776.0 188
50.2020 2780.0 188
50.8722 2792.0 188
51.7181 4352.0 188
52.0422 4384.0 188
52.3883 4424.0 188
52.7179 4464.0 188
53.0420 4504.0 188
53.9484 2660.0 188
54.2780 2668.0 188
54.6240 2672.0 188
54.9481 2684.0 188
55.9479 2700.0 188
57.6837 5048.0 188
58.0298 5064.0 188
58.9801 2600.0 188
59.3097 2596.0 188
59.6393 2600.0 188
59.9799 2620.0 188
60.9796 2636.0 188
61.7157 5664.0 188
62.7155 5696.0 188
63.0450 5696.0 188
63.9954 2540.0 188
64.3250 2528.0 188
64.6545 2528.0 188
64.9951 2560.0 188
65.9949 2580.0 188
66.3245 2660.0 188
66.6541 2636.0 188
66.9946 2616.0 188
67.3242 2628.0 188
67.6538 2616.0 188
67.9999 2592.0 188
68.3240 2588.0 188
68.6536 2584.0 188
68.9996 2576.0 188
69.3237 2568.0 188
69.6533 2540.0 188
69.9994 2516.0 188
70.3235 2516.0 188
70.6531 2520.0 188
70.9991 2520.0 188
71.3232 2524.0 188
71.6528 2528.0 188
71.9989 2528.0 188
72.3230 2536.0 188
72.6526 2540.0 188
72.9987 2548.0 188
73.3228 2560.0 188
73.6523 2560.0 188
73.9984 2568.0 188
74.3280 2580.0 188
74.6521 2584.0 188
74.9982 2588.0 188
75.9979 2592.0 188
76.3275 8160.0 188
76.6516 8008.0 188
76.9977 7944.0 188
77.3273 7896.0 188
77.6514 7840.0 188
77.9974 7808.0 188
78.3270 7824.0 188
78.6511 7856.0 188
78.9972 7896.0 188
79.3268 7976.0 188
79.6509 7984.0 188
79.9969 7912.0 188
80.3265 7904.0 188
80.6561 7984.0 188
80.9967 8048.0 188
81.3263 8104.0 188
81.6559 8136.0 188
81.9965 8160.0 188
82.3260 8152.0 188
82.6556 8184.0 188
82.9358 8248.0 188
83.2654 8256.0 188
83.6060 8200.0 188
83.9960 8176.0 188
84.9957 2544.0 188
85.3253 2520.0 188
85.9955 2524.0 188
88.2642 8224.0 188
88.6047 8240.0 188
88.9343 8240.0 188
89.2639 8200.0 188
89.6539 8192.0 188
98.5913 11312.0 188
98.9209 11248.0 188
99.5746 11048.0 188
